機構名稱,地址,電話,網址,負責人,立案設立時間,主要服務事項,緯度,經度
嘉義市東區托育資源中心</br>嘉義市兒童福利服務中心,嘉義市東區興業東路555號,05-2225212</br>05-2258542,http://www.crc-chiayi.com.tw/news_ii.html?nid=16</br>http://www.chiayi.gov.tw/web/social/allpage.asp?sn=20061208101604,涂醒哲,101.11.26,提供0-3歲嬰幼兒活動空間及親子活動。</br>辦理學步兒感覺統合課程、說故事等嬰幼兒課程、</br>親職教育、親子活動、托育服務諮詢等親子服務及嬰幼兒發展篩檢服務，</br>另規劃提供嬰幼兒教具、玩具及圖書外借等服務。</br>---------------</br>提供兒童遊戲室、親子繪本區、閱覽室、影片播放區、</br>科學太空館等活動設備與空間，並定期辦理各類兒童活動與親職教育。,23.470704,120.460624
嘉義市西區托育資源中心,嘉義市西區德安路6號,05-2338170,http://www.crc-chiayi.com.tw/news_ii.html?nid=16,涂醒哲,104.4.4,提供0-3歲嬰幼兒活動空間及親子活動。辦理學步兒感覺統合課程、說故事等嬰幼兒課程、親職教育、親子活動、托育服務諮詢等親子服務及嬰幼兒發展篩檢服務，另規劃提供嬰幼兒教具、玩具及圖書外借等服務。,23.4842261,120.4331141
嘉義市青少年福利服務中心,嘉義市東區體育路10號,05-2237963,http://163.29.100.10/web/social/manasystem/Files/file_downloads/201112221350131.pdf,涂醒哲,990805,"1.提供青少年安全休閒活動場域。2.提供父母教育子女之書籍及資訊。3.提供青少年知識性及休閒性書籍與刊物。4.推展親職教育，增進親子關係。5.辦理有益青少年身心發展之成長活動課程。6.辦理親子講座及親子相關活動課程。",23.474671,120.46145100000001
財團法人嘉義市私立修緣育幼院,600嘉義市永春二街30號,05-2355695,www.showlife.org.tw,盧宗明,85.08.07,兒少安置機構-收容2歲以上未滿18歲失依之兒童少年，提供生活照顧、心理及行為輔導、就學、衛生保健等各項服務。,23.4780338,120.42606820000003

