行政區,站名,位置,坐標_緯度,坐標_經度,備註
西區,嘉義火車站,台鐵火車站出口旁,23.47896,120.44108,有專人協助註冊、租借事宜
西區,家樂福站,博愛路二段、興業西路口,23.47124,120.43085,
西區,興業新民站,興業西路、新民路口,23.46794,120.44033,
西區,三越遠東站,遠東百貨旁(垂楊路、廣寧路口),23.47294,120.44141,
東區,檜意站,檜意森活村旁(靠忠孝路),23.48603,120.4538,
東區,噴水池站,中山路287號前,23.48005,120.45017,
東區,嘉義公園站,公園派出所旁(中山路、啟明路口),23.48272,120.46294,
東區,文化公園站,文化路、康樂街口,23.47509,120.45019,
東區,興業吳鳳站,興業東路、吳鳳南路口,23.46931,120.45475,
東區,體育館站,彌陀路381號前,23.47388,120.4623,
東區,嘉義醫院站,北港路、中興路口,23.48043,120.4297,
